,Feature1,Feature2,Correlation
141,X63,X40,0.1322634282896825
142,X48,X10,0.1321550915689607
143,X38,X48,0.13058620223469514
144,X49,X39,0.1300489913482769
145,X26,X4,0.12999961928520948
146,X26,X46,0.1299860149785193
147,X16,X11,0.1299462612477576
148,X48,X25,0.12960740475278568
149,X16,X48,0.12936496139264186
150,X40,X12,0.12850514192669887
151,X22,X16,0.1266994669906419
152,X35,X16,0.1259465515659982
153,X9,X12,0.12451438599159678
154,X23,X62,0.12395387912355113
155,X53,X36,0.12357265440643457
156,X22,X6,0.12351127753844023
157,X19,X62,0.12311629708261085
158,X36,X54,0.12302252409210768
159,X12,X7,0.12244444314798349
160,X14,X12,0.122444398835152
161,X9,X16,0.12238210161617297
162,X18,X12,0.1213875123005018
163,X53,X9,0.12126800675554972
164,X9,X54,0.12073220955332678
165,X30,X31,0.12022169530815986
166,X28,X54,0.11956295480381612
167,X23,X30,0.11902159620810947
168,X33,X4,0.11859647850286466
169,X33,X46,0.1178197693817331
170,X50,X33,0.11654904369286406
171,X36,X61,0.11613445768108548
172,X30,X19,0.1158488456798026
173,X9,X61,0.11576488528482892
174,X33,X26,0.11408267577740579
175,X12,X36,0.11328871553616134
176,X36,X16,0.11280201040399952
177,X61,X11,0.11037652186646212
178,X7,X16,0.10934501519275186
179,X14,X16,0.10934496811963196
180,X61,X63,0.10914297259657994
181,X18,X16,0.10860929746032505
182,X61,X35,0.10820958486784288
183,X61,X22,0.10715404963292827
184,X34,X40,0.10574826705634915
185,X53,X11,0.1049219335259201
186,X11,X54,0.10447705423090935
187,X2,X1,0.10414649115425112
188,X33,X61,0.10372224776833062
189,X53,X28,0.10220599564853135
190,X14,X2,0.10201995903131754
191,X2,X7,0.10201995387823028
192,X33,X60,0.10184859427227097
193,X63,X60,0.10158715892897982
194,X2,X18,0.10158547569742597
195,X2,X24,0.10139711520223553
196,X34,X60,0.10126080985755767
197,X61,X34,0.10103465022915875
198,X24,X53,0.10062951432897432
199,X24,X54,0.10007405513469107
200,X30,X39,0.09932881068985429
201,X33,X8,0.09931342751352194
202,X17,X33,0.09902675539912757
203,X63,X26,0.09719613043427809
204,X48,X61,0.09157197711436889
205,X24,X12,0.09091860936959154
206,X18,X53,0.08875934496954421
207,X14,X53,0.08765625408040743
208,X53,X7,0.08765351079484014
209,X54,X7,0.08728698068726985
210,X54,X14,0.08728694287589228
211,X51,X24,0.08715781593434282
212,X54,X18,0.08688962569354802
213,X24,X3,0.08686868046427605
214,X64,X48,0.08566380524179194
215,X12,X60,0.08498127681104337
216,X61,X7,0.08497479483087289
217,X14,X61,0.08497473034781937
218,X60,X16,0.08497238996421187
219,X61,X18,0.08422229609170734
220,X1,X34,0.08341371804641333
221,X25,X22,0.08019928178613028
222,X60,X9,0.07670062318815817
223,X60,X36,0.076459128070511
224,X16,X24,0.07442638247268973
225,X29,X36,0.07406772617277177
226,X22,X53,0.07332343513703536
227,X9,X29,0.07329215795736474
228,X54,X22,0.07293800405204934
229,X24,X61,0.07097872901570693
230,X1,X64,0.06902936765584655
231,X53,X35,0.06577290404906047
232,X35,X54,0.06543077499996955
233,X22,X60,0.06273487922955918
234,X60,X35,0.06225751950354096
235,X29,X51,0.061467195180097245
236,X29,X34,0.06139689073447814
237,X33,X29,0.061238353120341066
238,X60,X11,0.06100441510969992
239,X60,X48,0.05815148325433053
240,X39,X19,0.05813051193763057
241,X29,X63,0.05803687994886318
242,X3,X1,0.05803672409586512
243,X23,X39,0.05790296279327347
244,X1,X51,0.056489116170531095
245,X14,X25,0.05638725339942366
246,X7,X25,0.056387230576736155
247,X18,X25,0.05615878235939546
248,Class,X29,0.05571702223752819
249,X60,X7,0.05404279101745345
250,X60,X14,0.054042770736153094
251,X60,X18,0.05379948680692192
252,X29,X2,0.0534102940609415
253,X64,X29,0.0530665591828089
254,X3,X28,0.052868323698860256
255,X29,X6,0.05199214076561922
256,X25,X35,0.051291401972325394
257,X12,X31,0.050883920600967185
258,X31,X39,0.050655979531410905
259,X19,X12,0.05029502816424284
260,X3,X62,0.050162165090722965
261,X62,X51,0.050048795958951085
262,X31,X26,0.049859955429924774
263,X12,X23,0.049780466465290704
264,X26,X23,0.04929891336660466
265,X19,X26,0.04896085036098601
266,X16,X64,0.048550423906858604
267,X55,X37,0.04765935238779463
268,X2,X62,0.046871408353991714
269,X3,X29,0.046722792865078494
270,X24,X60,0.045700612302845625
271,X50,X28,0.04493378473924147
272,X37,X29,0.043667933181204585
273,Year,Class,0.043488025724147464
274,X37,X26,0.04294970744431039
275,X16,X37,0.042901915304631784
276,X11,X25,0.04278253673188341
277,X11,X26,0.041953165154834965
278,X31,X16,0.04134157048522289
279,X50,X53,0.041224017399434924
280,X17,X63,0.04106476319366103
281,X48,X26,0.04084044879681754
282,X38,X29,0.04076648787058211
283,X16,X23,0.04066977467096057
284,X29,X10,0.0406292810260323
285,X16,X19,0.04042260355615862
286,X6,X62,0.0397349208321525
287,X53,X29,0.0397046612257077
288,X12,X64,0.03970026316409156
289,X35,X26,0.03969605694651353
290,X37,X17,0.03955170563848736
291,X29,X1,0.03950266600254282
292,X37,X8,0.03949088722684121
293,X4,X63,0.03944747367154171
294,X29,X54,0.03933080626081671
295,X50,X37,0.03912696725678997
296,X5,X51,0.039109667125904114
297,X15,X5,0.03910101299106381
298,X50,X54,0.03906846102988622
299,X63,X8,0.038943143309158795
300,X5,X3,0.038900188184475576
301,X63,X46,0.038615027942944934
302,X32,X51,0.038440692907474656
303,X26,X22,0.038433457880870985
304,X3,X32,0.03835871156325906
305,X63,X50,0.03755082421361174
306,X7,X26,0.03691122140082591
307,X14,X26,0.03691117791555328
308,X26,X18,0.03665009228405722
309,X18,X13,0.03644343692006003
310,X5,X2,0.036344325080108555
311,X50,X34,0.03601575534280416
312,X2,X32,0.035616544014517915
313,X51,X14,0.035326893195564
314,X51,X7,0.03532688823530975
315,Class,X2,0.03523615076935711
316,X40,X29,0.035213455793544186
317,X18,X51,0.035177625566414066
318,Class,X3,0.035128068417579955
319,X51,Class,0.034753286613466966
320,Class,X6,0.03466223250815207
321,X34,X46,0.03412725201755224
322,X60,X61,0.03367062080546398
323,X4,X34,0.03364323722119296
324,X3,X7,0.03352107563827168
325,X14,X3,0.03352104265438355
326,X18,X3,0.03336238841813633
327,X29,X11,0.032139170585202485
328,X53,X1,0.0317237030504166
329,X54,X1,0.031581105077104564
330,X51,X28,0.03137847014917503
331,X6,X53,0.02961281617754603
332,X6,X32,0.029484234964962185
333,X6,X54,0.029427811716442553
334,X5,X6,0.02930692542308831
335,X2,X35,0.02896887410093576
336,X29,X35,0.028388900101076985
337,X29,X28,0.02816457980747947
338,X24,X29,0.02789992028469895
339,X13,X12,0.027759110212398755
340,X26,X13,0.02702356072251855
341,Class,X1,0.026648757834695936
342,X29,X22,0.025678165695722004
343,X40,X31,0.025633570330451133
344,X40,X19,0.025515302843970647
345,X29,X61,0.024979988372928603
346,X24,X25,0.02380789530149777
347,X30,X3,0.023566318273316077
348,X30,X51,0.02326570398690028
349,X24,X26,0.023136185317535987
350,X40,X61,0.023124490152103938
351,X62,X25,0.022333924992517098
352,X30,X2,0.02228153819861028
353,X16,X13,0.022277960067940403
354,Class,X55,0.022100601934236942
355,X22,X2,0.022008548998738203
356,X18,X29,0.02197556358923092
357,X40,X23,0.021782641803891514
358,X61,X10,0.02172818719334605
359,X61,X38,0.02157228824674525
360,X10,Year,0.021114346887869284
361,X29,X13,0.020786321248103513
362,Year,X38,0.020650113406677828
363,Class,X39,0.019849704069749154
364,X4,X29,0.019346573717428598
365,X7,Year,0.01931337210143557
366,X14,Year,0.01931218430643589
367,X9,X26,0.019255071587219105
368,Class,X57,0.01920406834621533
369,X50,X29,0.0191270291607471
370,X2,X48,0.01910009109150518
371,Year,X53,0.019032585434701252
372,Year,X11,0.019025329609362252
373,X18,Year,0.018879855155258793
374,X62,X10,0.018828333185867546
375,X54,Year,0.018785916137715315
376,X46,X29,0.018642700447587406
377,X35,Year,0.0186394342749148
378,X6,X30,0.01861447268575838
379,X38,X62,0.01861045841022343
380,X25,Class,0.018415036901416083
381,Class,X35,0.018002601727228847
382,X9,Year,0.017983858847000142
383,Year,X36,0.017788744219752774
384,X29,X14,0.01776302063125057
385,X7,X29,0.01775379594714638
386,X6,X9,0.01774923687075431
387,X34,X17,0.017683635054434262
388,X26,X57,0.017454705604547403
389,X32,X25,0.01742294479541912
390,X26,X6,0.01740852951881461
391,X25,X5,0.01735366250025102
392,X57,X16,0.016933428188293298
393,X16,X6,0.016916175253282404
394,X12,X57,0.01690219555883851
395,X3,X37,0.016807044022367372
396,X6,X14,0.01670139545957814
397,X7,X6,0.016701383108093684
398,X45,X40,0.01669817798990386
399,Year,X64,0.01668203711473951
400,X6,X12,0.016653388106870746
401,X18,X6,0.01663577554098548
402,X9,X2,0.016594387735156525
403,X25,Year,0.01647312583489269
404,X46,X31,0.016468676106594835
405,X19,X46,0.01639714963306752
406,Year,X22,0.01622013721811727
407,X31,X4,0.016204816958220607
408,X11,Class,0.0161471660747418
409,X4,X19,0.016136494183177193
410,X12,Class,0.016108282251591124
411,X18,Class,0.016053470461713334
412,Year,X29,0.015942348810854746
413,Class,X14,0.015922646219534254
414,X7,Class,0.01592221805923275
415,X48,Class,0.015888704426651742
416,X2,X64,0.01564891002423961
417,X52,X29,0.015534493421339723
418,X34,X8,0.015375969863407267
419,X24,Class,0.015324731937335747
420,X10,Class,0.01521211846662605
421,Class,X38,0.015096872800731099
422,Class,X22,0.015043461674010456
423,X16,X61,0.014990314004585358
424,X8,X31,0.014819703311822498
425,X45,X46,0.014749164071298717
426,X5,X10,0.014709184347332434
427,X38,X5,0.014647882289504562
428,X17,X31,0.01463455819122853
429,X23,X8,0.014568193977173096
430,X8,X19,0.014529451131494836
431,X36,X2,0.014515996768415279
432,X45,X50,0.014512564693453328
433,X27,X29,0.014482855120953984
434,X28,X4,0.01442959775247019
435,X17,X23,0.014385061552724435
436,X10,X32,0.014365471150665408
437,X38,X32,0.014352978017743762
438,X17,X19,0.014348363914876523
439,X64,X60,0.014150337216235593
440,X23,X46,0.0140176464653674
441,X53,X51,0.013889282976320808
442,X40,X13,0.013874744290297943
443,X61,X12,0.013869519313039981
444,Class,X16,0.013823027778475574
445,X60,X26,0.013799069506880502
446,X23,X4,0.013794064712200476
447,X51,X54,0.013780767223691776
448,Class,X26,0.013571115253895665
449,Year,X48,0.01337554146863637
450,X46,X28,0.013327569924329517
451,Year,X28,0.013251643893671627
452,X25,X29,0.012993816387083036
453,X53,X2,0.01260949569723221
454,X28,X40,0.012490116930403401
455,X48,X29,0.012483231506102388
456,X54,X2,0.01232905545987434
457,X52,X3,0.01201857862619795
458,X63,X54,0.011978524578080829
459,X53,X63,0.0119779918364252
460,X4,X45,0.011935833917012908
461,X26,X55,0.011862302275103761
462,X12,X55,0.011851294934717505
463,Year,X24,0.011840733774796839
464,X26,X36,0.01170438173660906
465,X51,X52,0.011699211736965451
466,Class,X32,0.011588278750968909
467,X16,X55,0.011460196735205387
468,X3,X11,0.011209449549066304
469,X11,X51,0.011164921812288535
470,X55,X3,0.011101105087445053
471,X8,X28,0.010824777322005243
472,X28,X17,0.010767111767884911
473,X42,X40,0.010752599621219515
474,X52,X2,0.010728845528968028
475,X25,X30,0.010642368958849084
476,X25,X61,0.010520600507733806
477,X60,X29,0.010424634934231616
478,X29,X21,0.010215781786052638
479,X17,X53,0.009935058663627734
480,X40,Year,0.009845375967513524
481,X55,X51,0.009583334524357319
482,X55,X2,0.009579700951002515
483,X32,X29,0.009462824092148317
484,X21,Year,0.009455234640945265
485,X55,Year,0.009443507469272914
486,X54,X17,0.009331545452725059
487,X8,X53,0.009292697922794975
488,X55,X17,0.009249531231067216
489,X55,X8,0.009244541126611666
490,X10,X30,0.009023166569718787
491,X47,X29,0.008981086017627704
492,X34,X57,0.00892358253810047
493,X26,X45,0.008906100164792619
494,X37,X51,0.008869681842626603
495,X13,X46,0.008761256986689281
496,X30,X38,0.00876044370080552
497,X54,X8,0.008718505693449187
498,X62,X29,0.008692949172152796
499,X52,X6,0.00869171873819272
500,X4,X13,0.00859940048907169
501,X3,X35,0.00846698033964148
502,X1,X63,0.008387394580281206
503,X6,X34,0.008338823827769726
504,X11,X2,0.008287218151656705
505,X29,X58,0.008146940301191844
506,Year,X45,0.008053277131174059
507,X57,X45,0.007995913846031556
508,X28,X2,0.007938075410026283
509,X13,X8,0.007909429646160586
510,X29,X15,0.007869349087995284
511,X17,X13,0.00778146073501771
512,X1,X57,0.007763773965830056
513,X54,X33,0.007640063031195532
514,X1,X27,0.0076378566141343295
515,X51,X35,0.0076331344370936995
516,X58,Year,0.007608836722903518
517,X53,X33,0.007582838521384287
518,X30,Year,0.007531906200381055
519,X56,Year,0.007261608141763627
520,X20,Year,0.007237151640150054
521,Year,X43,0.00693548061302124
522,X29,X17,0.0069216659659628605
523,X24,X27,0.006811584051410014
524,X44,Year,0.006808845496794022
525,X17,X9,0.006781425949272137
526,X29,X56,0.00672118838541456
527,X27,X63,0.006689462524297379
528,X29,X20,0.006678754744483079
529,Year,X57,0.006660323824729764
530,X29,X8,0.006639389409370284
531,X27,X48,0.0066263201012068396
532,X37,X25,0.006581892149675071
533,X42,X46,0.006579859289040782
534,X29,X43,0.00656148036516632
535,X35,X27,0.006541395457351841
536,X6,X36,0.006503848925910282
537,X29,X44,0.006499029940684124
538,X29,X49,0.006498148821423062
539,Year,X62,0.006395240604009481
540,X29,X30,0.006362998138430413
541,X27,X22,0.006270714292309425
542,X4,X42,0.006260219338276913
543,X49,Year,0.006214566533246954
544,X27,X11,0.006135139399307877
545,X13,Year,0.006130465298128894
546,Year,X27,0.006110248808571615
547,X12,X29,0.006089066353760589
548,Year,X37,0.006015322661367054
549,X37,X19,0.005989318083975462
550,X37,X31,0.005977111024528981
551,X27,X7,0.00584487138618169
552,X14,X27,0.005844804029270411
553,X29,X59,0.005792088985598878
554,X27,X18,0.005783818894764494
555,X27,Class,0.005753012020827953
556,X42,Year,0.005690724290554031
557,X37,X46,0.0056534583302997035
558,X26,X28,0.005624448506010171
559,Year,X8,0.005613687990858824
560,X55,X21,0.0056116194623487044
561,X17,Year,0.005595266449095623
562,X16,X28,0.005547145438511753
563,X37,X40,0.005523040344747612
564,X40,X64,0.00548055573186394
565,Class,X15,0.005467718822746967
566,X34,X27,0.0053461659057267305
567,X6,X55,0.005315608302997486
568,X52,X25,0.005306115106051479
569,X39,Year,0.005303535670240921
570,X33,X1,0.005253158425710315
571,X37,X23,0.005228130607498029
572,X33,X27,0.0051811972748636945
573,X29,X42,0.005162856583354015
574,X59,X45,0.005103315202090537
575,X16,X45,0.005102536663428686
576,X4,X54,0.00509750352921777
577,Year,X23,0.005042611948092326
578,X17,X45,0.005037913963596136
579,X8,X45,0.005035519057106058
580,X53,X26,0.0050351036036499815
581,X37,X4,0.004999140993424389
582,X53,X13,0.004978444449127646
583,X12,X42,0.004958428809571316
584,Year,X19,0.004937008118837557
585,X58,X27,0.004845240690290647
586,Year,X2,0.004833651320902624
587,X54,Class,0.004801605427079839
588,Class,X53,0.004776752589862466
589,X45,X12,0.004761058972368206
590,X54,X26,0.004708211967721503
591,X53,X4,0.004699371012285666
592,Year,X31,0.004698791786352368
593,X57,X11,0.004659880584744504
594,X36,X51,0.004658355351283855
595,X9,X8,0.0046579498672834055
596,X3,Year,0.0046526474365946365
597,X3,X36,0.004628333584823923
598,X42,X18,0.004569084116980824
599,X48,X57,0.004553333706810972
600,X29,X26,0.004551521206055091
601,X4,Year,0.004547821879391652
602,X38,X52,0.004459898029757916
603,Year,X46,0.004456560076451947
604,X33,X28,0.004443514829217311
605,X28,X63,0.004435358599214482
606,X52,X10,0.00442366533265861
607,X62,X24,0.0044097855252874536
608,X61,X4,0.004387210163512645
609,X64,X46,0.00435370827612047
610,X57,X18,0.004346495270565535
611,X26,X64,0.004338806422735965
612,X22,X57,0.004309512344495369
613,X48,X3,0.004295320506565599
614,X14,X57,0.004294749256977291
615,X7,X57,0.004294600781964174
616,X40,X3,0.004294570728597239
617,X50,X61,0.0042749506590515855
618,X42,X26,0.00425065437552234
619,X16,X42,0.004193670537354143
620,X28,Class,0.004188429975021845
621,X63,X10,0.004135929643132839
622,X40,X53,0.004127525356368478
623,X54,X40,0.004115512983115817
624,X46,X61,0.0040971943320009495
625,X1,Year,0.004051851705463111
626,X3,X63,0.004044166870642587
627,X55,X1,0.004014319456841142
628,X3,X22,0.003924223440913017
629,X48,X47,0.003912557592346259
630,X17,X61,0.0038997882431889065
631,X3,X33,0.00388468012619843
632,X61,X8,0.0038793841728843254
633,X25,X55,0.003862895644099928
634,X57,X35,0.003847804671618187
635,X63,X38,0.003839674530271484
636,X62,X32,0.003772978342988003
637,X37,X28,0.003712513913800838
638,X51,X64,0.003704735136630526
639,X48,X32,0.0036920564446211294
640,X34,X28,0.0036767421358642706
641,X23,X1,0.003614365529821884
642,X34,X37,0.0035996824261506216
643,X49,X40,0.0035841965104951978
644,X32,X24,0.003580713800017675
645,X16,X53,0.0035686909733749976
646,X32,X5,0.003523261785685556
647,X19,X1,0.003487567057910387
648,X1,X31,0.003482617982383582
649,X51,Year,0.0034621706305489807
650,X38,X33,0.0034327324418937997
651,X61,X28,0.0033798239086230415
652,X63,X51,0.0033768199236548536
653,X57,X24,0.003355190823585382
654,X2,X63,0.0033388177593342452
655,Class,X64,0.003336853517209575
656,X33,X10,0.0033280308386340603
657,X48,X51,0.003324192930596164
658,X16,X54,0.003310048251516615
659,X24,X5,0.0032873871524528157
660,X25,X12,0.003256563777993884
661,X60,X40,0.003242683713166415
662,X33,X51,0.003237093133858168
663,X60,X46,0.00311401944930826
664,X22,X51,0.0031122805352411177
665,X40,X51,0.0030206834112890325
666,X50,Year,0.0030095388680506548
667,X9,X3,0.0029811135172068503
668,X1,X40,0.0029520637256057517
669,X37,Class,0.002937977671276874
670,X42,X1,0.0029010341109960125
671,Year,X59,0.002880681005707291
672,X3,X45,0.0028689380650600534
673,X27,X10,0.0028556592820133506
674,X39,X40,0.0028493883901921768
675,X26,X61,0.002837539880741376
676,X1,X28,0.0028284916056162076
677,X33,X2,0.0028134633868360077
678,Year,X15,0.002803474987449067
679,X2,X40,0.002796465821037629
680,X39,X29,0.0027925237226576172
681,X55,X62,0.002787356493829197
682,X37,X2,0.002773143244557729
683,X1,X5,0.00274166751124021
684,X54,X48,0.0027217500865732245
685,Class,X17,0.002719809236247696
686,X12,X27,0.002700157121014919
687,X34,X3,0.0026996269983605692
688,X27,X28,0.002698312298411867
689,X38,X27,0.0026918326796581678
690,X8,Class,0.002686136624699492
691,X53,X12,0.0026757888015981
692,X55,X34,0.0026642049738872923
693,X63,X25,0.0026458642042404956
694,X33,Class,0.002642453051113758
695,X62,X5,0.002639065417950561
696,X8,X42,0.0026340698441098404
697,Year,X47,0.0026277808886078623
698,X3,X27,0.0026153889184831916
699,X12,X37,0.0026085908987051568
700,X60,X50,0.0025883579353712075
701,Class,X9,0.0025827750206305223
702,X17,X42,0.002577202779008669
703,X32,X1,0.0025721942449959717
704,X12,X54,0.0025580723663965734
705,X36,X55,0.0025390409457342893
706,X25,X17,0.0025011270663439287
707,X2,X27,0.0024986462876999765
708,X6,X64,0.0024965715754716954
709,X53,X46,0.0024859870893620675
710,X10,X40,0.0024733586122607665
711,X52,X24,0.002465564568952846
712,X41,X29,0.002453973000204301
713,X51,X45,0.0024449467594795686
714,X55,X9,0.002435668291418603
715,X55,X42,0.00243203934045052
716,X6,X31,0.0024313142967439813
717,X2,X17,0.0024143333796741813
718,X6,X57,0.002407292921887696
719,X46,X54,0.0024061816711977825
720,X9,X51,0.002398301428701264
721,X42,X24,0.00239719295317783
722,X2,X8,0.0023849364929021443
723,X53,X48,0.002383218469080481
724,X27,X16,0.002361286444853042
725,X4,X3,0.0023350800994944377
726,X12,X28,0.0023326862751531867
727,X26,X27,0.002288589452418347
728,X31,X18,0.0022829185512744025
729,X6,X19,0.0022816310698570005
730,X34,X38,0.0022725794037782945
731,X21,X56,0.002263351823816536
732,X50,X3,0.0022561393338217622
733,X45,X2,0.002254309537460238
734,X8,X25,0.002252553651855606
735,X19,X18,0.0022415513713700476
736,X21,Class,0.0022376148082095073
737,X19,X14,0.0022358777096721603
738,X19,X7,0.002235846981875575
739,X31,X14,0.0022334966787045047
740,X31,X7,0.0022333672932462185
741,X2,X34,0.0022085352296406743
742,X31,X3,0.0021833649339876747
743,X30,X24,0.0021688953227461446
744,X55,X64,0.002166314998779643
745,X46,X3,0.0021451261198226607
746,X6,X28,0.0021413548194932526
747,X40,X25,0.0021332038715287105
748,Class,X60,0.0021325331645288405
749,X51,X17,0.0021288080384197147
750,X49,X46,0.0021212801635572247
751,X54,X3,0.002117913214363173
752,X8,X51,0.0021119872623776128
753,X5,X40,0.0020959114002289513
754,X58,X21,0.002092720595051234
755,X27,X9,0.002085805638018394
756,X19,X29,0.002059861161867027
757,X23,X3,0.0020501571186772225
758,X39,X3,0.002039346467107377
759,X26,X25,0.0020392176298855876
760,X10,X55,0.0020288162701853595
761,X40,X38,0.0020123778888581204
762,X3,X19,0.0019995736569822565
763,X42,X32,0.001995872403234835
764,X5,X50,0.001988773848111289
765,X6,X39,0.0019808779023189134
766,X6,X23,0.0019585464979019647
767,X34,X51,0.001946433600121599
768,X4,X49,0.0019327953445128147
769,X39,X2,0.001926083316201628
770,X50,X42,0.001906674539381923
771,X34,X10,0.0019039531958337874
772,X36,X27,0.0019007796805335982
773,X50,Class,0.001897992798711238
774,X57,X27,0.0018919670274759384
775,X46,Class,0.0018895542573237366
776,X48,X28,0.0018836256083371778
777,X22,X42,0.001881553697699688
778,X42,X11,0.0018803233097517311
779,Class,X47,0.001874523060185796
780,X34,X54,0.0018712381865509872
781,X1,X13,0.0018610749691026717
782,X51,X27,0.0018601334566618007
783,X52,X48,0.00185984354812209
784,X5,X4,0.0018518643645747497
785,X5,X46,0.001842638222714588
786,X55,X61,0.0018366732320785036
787,X51,X31,0.0018366259806969233
788,X55,X24,0.0018348410173215936
789,X53,X3,0.0018223214257737067
790,X34,X53,0.0018136870397422564
791,X2,X31,0.001813230270232074
792,X23,X14,0.001808980574048261
793,X7,X23,0.001808972162914215
794,X18,X23,0.0018051347188926836
795,Year,X60,0.0018033458373675796
796,X49,X12,0.001802450365773636
797,Class,X52,0.0018019937437493273
798,X21,X20,0.001782403124454757
799,X23,X29,0.001779185382996384
800,X42,X14,0.0017700670384094863
801,X42,X7,0.0017643815054469683
802,X35,X42,0.0017623614110596508
803,X42,X48,0.001751881554590482
804,X38,X55,0.0017495703773818098
805,X9,X37,0.001747058808768075
806,X30,X32,0.0017416058867417742
807,X29,X31,0.00173521802509853
808,X27,X20,0.0017277725191031411
809,X55,X53,0.0017205010920507769
810,X40,X30,0.0017160879618688491
811,X55,X54,0.0017075435070387523
812,X51,X23,0.00170579052123081
813,X36,X37,0.0017018872426070079
814,X10,X17,0.0017003351554684774
